Feature,Coefficient,Importance_Abs
growth_rate,125.32799316811436,125.32799316811436
temporal_stability_score,36.95133126052284,36.95133126052284
avg_order_frequency,-19.877073909339696,19.877073909339696
Seasonality_Index,10.449125375577308,10.449125375577308
monthly_avg_sales,1.4153892137806035,1.4153892137806035
outlet_density,0.5611445197371043,0.5611445197371043
sales_std,0.39585502775361836,0.39585502775361836
inactive_days,-0.0870282591491928,0.0870282591491928
historical_max_sales,-0.07688660109934377,0.07688660109934377
poi_score,0.027778232656950026,0.027778232656950026
market_saturation_index,0.0035219812020756028,0.0035219812020756028
